date;cases;isolation_level
20201230;11774;0.41931523426618694
20201231;10253;0.4412785961223024
20210101;3896;0.4744040874532375
20210102;1794;0.482189010877698
20210103;3468;0.49093204733093515
20210104;2250;0.40044444563309356
20210105;12887;0.4039545946043166
20210106;14508;0.45110932710791357
20210107;14087;0.42165856307913663
20210108;13756;0.4033242933956834
20210109;11537;0.45479742970503617
20210110;5653;0.46066295803597107
20210111;3029;0.4118908764244605
20210112;12687;0.4068654069064749
20210113;15276;0.4088400357482015
20210114;13719;0.4107678771294966
20210115;15005;0.40128754721582727
20210116;13676;0.4259227202733813
20210117;5772;0.4671817153597125
20210118;2961;0.4022123105467626
20210119;15942;0.40817919221582744
20210120;14427;0.40824530173381274
20210121;12069;0.4085614243165468
20210122;9059;0.40038011358273384
20210123;14511;0.4214155069999999
20210124;5123;0.46956585741726614
20210125;2883;0.40692904990647494
20210126;12945;0.40189827333812966
20210127;15947;0.4012537569280576
20210128;14824;0.40263338379856123
20210129;13878;0.4037802524244604
20210130;13005;0.4282563671079134
20210131;4357;0.4727541940863308
20210201;2426;0.3993003010071942
20210202;14271;0.4079305143093525
20210203;12975;0.40090949843884865
20210204;13766;0.3994385819712229
20210205;12403;0.3929583876043165
20210206;11876;0.4225397580647483
20210207;4260;0.4630445944964029
20210208;2475;0.39686986489928067
20210209;13189;0.40248633064028766
20210210;13854;0.3957478229064748
20210211;11149;0.3953467543165469
20210212;11594;0.3928485685323739
20210213;9790;0.4245863637194247
20210214;2220;0.4769736111510788
20210215;2329;0.43906362883453237
20210216;11520;0.4230948532374102
20210217;11305;0.40093762686330914
20210218;10729;0.40830755092086357
20210219;11108;0.39074562087769776
20210220;10819;0.4158428953597123
20210221;4507;0.46371239730215835
20210222;2557;0.3963808495755396
20210223;12098;0.4015729357697841
20210224;12093;0.46757076272661874
20210225;11871;0.4012851094676258
20210226;11604;0.3957010334604317
20210227;11114;0.4251458894028778
20210228;4353;0.47865494282014376
20210301;3109;0.38892154799280565
20210302;10161;0.40776755979856094
20210303;13752;0.4050848456762589
20210304;12196;0.40499295640287775
20210305;13101;0.40012000494244604
20210306;13707;0.45768261197122323
20210307;6079;0.504496955561151
20210308;4208;0.4171940092589927
20210309;16070;0.4279572553165468
20210310;15570;0.4247831142661872
20210311;14473;0.41795089020863313
20210312;15730;0.41881069981294955
20210313;15302;0.4578699122086331
20210314;7888;0.4961372169856119
20210315;5282;0.42535267362589935
20210316;17674;0.43865419217985613
20210317;17926;0.42737240948201477
20210318;17499;0.4395057976115108
20210319;18658;0.42369663338129504
20210320;17993;0.4683659532302156
20210321;8290;0.5067830348273383
